Validation_Set,Topics,Alpha,Beta,Coherence
TF-IDF Corpus,5,0.01,0.01,0.41937007719711117
TF-IDF Corpus,5,0.01,0.31,0.431889043785167
TF-IDF Corpus,5,0.01,0.61,0.37008047894537255
TF-IDF Corpus,5,0.01,0.9099999999999999,0.3984467299659415
TF-IDF Corpus,5,0.01,symmetric,0.3997829718227543
TF-IDF Corpus,5,0.31,0.01,0.4383771428427501
TF-IDF Corpus,5,0.31,0.31,0.43222906185580146
TF-IDF Corpus,5,0.31,0.61,0.4517115278693387
TF-IDF Corpus,5,0.31,0.9099999999999999,0.4307045885218092
TF-IDF Corpus,5,0.31,symmetric,0.44785353310897
TF-IDF Corpus,5,0.61,0.01,0.43865554556703923
TF-IDF Corpus,5,0.61,0.31,0.4467118740047014
TF-IDF Corpus,5,0.61,0.61,0.47386429190362483
TF-IDF Corpus,5,0.61,0.9099999999999999,0.442779004115798
TF-IDF Corpus,5,0.61,symmetric,0.4262433636003366
TF-IDF Corpus,5,0.9099999999999999,0.01,0.44209850810069673
TF-IDF Corpus,5,0.9099999999999999,0.31,0.4325582183966864
TF-IDF Corpus,5,0.9099999999999999,0.61,0.4361916665845683
TF-IDF Corpus,5,0.9099999999999999,0.9099999999999999,0.43536470592168336
TF-IDF Corpus,5,0.9099999999999999,symmetric,0.4210941278482759
TF-IDF Corpus,5,symmetric,0.01,0.39185083515354
TF-IDF Corpus,5,symmetric,0.31,0.4533238363313119
TF-IDF Corpus,5,symmetric,0.61,0.44005262912382503
TF-IDF Corpus,5,symmetric,0.9099999999999999,0.41959800406965575
TF-IDF Corpus,5,symmetric,symmetric,0.4390542770866678
TF-IDF Corpus,5,asymmetric,0.01,0.5352296486967542
TF-IDF Corpus,5,asymmetric,0.31,0.5694287934174496
TF-IDF Corpus,5,asymmetric,0.61,0.5961399994296654
TF-IDF Corpus,5,asymmetric,0.9099999999999999,0.5863247944366069
TF-IDF Corpus,5,asymmetric,symmetric,0.551362752736756
TF-IDF Corpus,6,0.01,0.01,0.3616031702929674
TF-IDF Corpus,6,0.01,0.31,0.39513181083378585
TF-IDF Corpus,6,0.01,0.61,0.4042396625114632
TF-IDF Corpus,6,0.01,0.9099999999999999,0.3717480462783862
TF-IDF Corpus,6,0.01,symmetric,0.433689725813654
TF-IDF Corpus,6,0.31,0.01,0.45502714834653096
TF-IDF Corpus,6,0.31,0.31,0.41635247651253177
TF-IDF Corpus,6,0.31,0.61,0.44805049807871056
TF-IDF Corpus,6,0.31,0.9099999999999999,0.42440941465255094
TF-IDF Corpus,6,0.31,symmetric,0.43920608152169427
TF-IDF Corpus,6,0.61,0.01,0.44676475206959904
TF-IDF Corpus,6,0.61,0.31,0.4222219800328484
TF-IDF Corpus,6,0.61,0.61,0.42600716827681057
TF-IDF Corpus,6,0.61,0.9099999999999999,0.42251735292770004
TF-IDF Corpus,6,0.61,symmetric,0.3878484950096724
TF-IDF Corpus,6,0.9099999999999999,0.01,0.4197181968362241
TF-IDF Corpus,6,0.9099999999999999,0.31,0.4409830348673258
TF-IDF Corpus,6,0.9099999999999999,0.61,0.45629102174641223
TF-IDF Corpus,6,0.9099999999999999,0.9099999999999999,0.4568543503815901
TF-IDF Corpus,6,0.9099999999999999,symmetric,0.42361583184666457
TF-IDF Corpus,6,symmetric,0.01,0.462823642747299
TF-IDF Corpus,6,symmetric,0.31,0.41486333383366775
TF-IDF Corpus,6,symmetric,0.61,0.4014021286959803
TF-IDF Corpus,6,symmetric,0.9099999999999999,0.4286208621584489
TF-IDF Corpus,6,symmetric,symmetric,0.40319447490221044
TF-IDF Corpus,6,asymmetric,0.01,0.510950630206784
TF-IDF Corpus,6,asymmetric,0.31,0.5760404698976708
TF-IDF Corpus,6,asymmetric,0.61,0.5811224477412488
TF-IDF Corpus,6,asymmetric,0.9099999999999999,0.5495506977720624
TF-IDF Corpus,6,asymmetric,symmetric,0.5481550853797392
TF-IDF Corpus,7,0.01,0.01,0.4071563864603509
TF-IDF Corpus,7,0.01,0.31,0.38899372456554787
TF-IDF Corpus,7,0.01,0.61,0.4316179855742707
TF-IDF Corpus,7,0.01,0.9099999999999999,0.3967034747681089
TF-IDF Corpus,7,0.01,symmetric,0.4437578925942648
TF-IDF Corpus,7,0.31,0.01,0.4744967113176676
TF-IDF Corpus,7,0.31,0.31,0.4633189468947863
TF-IDF Corpus,7,0.31,0.61,0.4477371227501578
TF-IDF Corpus,7,0.31,0.9099999999999999,0.4548881329071704
TF-IDF Corpus,7,0.31,symmetric,0.4464324870192482
TF-IDF Corpus,7,0.61,0.01,0.40605105125342733
TF-IDF Corpus,7,0.61,0.31,0.42146324879046526
TF-IDF Corpus,7,0.61,0.61,0.41654909234531123
TF-IDF Corpus,7,0.61,0.9099999999999999,0.41800760454377833
TF-IDF Corpus,7,0.61,symmetric,0.4221857854930697
TF-IDF Corpus,7,0.9099999999999999,0.01,0.4434310823569791
TF-IDF Corpus,7,0.9099999999999999,0.31,0.4369781825629851
TF-IDF Corpus,7,0.9099999999999999,0.61,0.43232923604686235
TF-IDF Corpus,7,0.9099999999999999,0.9099999999999999,0.4277250327659889
TF-IDF Corpus,7,0.9099999999999999,symmetric,0.4351158315626815
TF-IDF Corpus,7,symmetric,0.01,0.4484124446896901
TF-IDF Corpus,7,symmetric,0.31,0.4196292557847773
TF-IDF Corpus,7,symmetric,0.61,0.42328279011879666
TF-IDF Corpus,7,symmetric,0.9099999999999999,0.4187801518561498
TF-IDF Corpus,7,symmetric,symmetric,0.40116039459528696
TF-IDF Corpus,7,asymmetric,0.01,0.5010580788592123
TF-IDF Corpus,7,asymmetric,0.31,0.5978649772970103
TF-IDF Corpus,7,asymmetric,0.61,0.6161280743815448
TF-IDF Corpus,7,asymmetric,0.9099999999999999,0.5836195287852476
TF-IDF Corpus,7,asymmetric,symmetric,0.5184251475673074
TF-IDF Corpus,8,0.01,0.01,0.46300260699068885
TF-IDF Corpus,8,0.01,0.31,0.4114219211088006
TF-IDF Corpus,8,0.01,0.61,0.43497052722598706
TF-IDF Corpus,8,0.01,0.9099999999999999,0.4332373612123007
TF-IDF Corpus,8,0.01,symmetric,0.4543301769258811
TF-IDF Corpus,8,0.31,0.01,0.4708474853848968
TF-IDF Corpus,8,0.31,0.31,0.46086673425264957
TF-IDF Corpus,8,0.31,0.61,0.453148190115698
TF-IDF Corpus,8,0.31,0.9099999999999999,0.46018134998846116
TF-IDF Corpus,8,0.31,symmetric,0.4617749783543549
TF-IDF Corpus,8,0.61,0.01,0.4400378380488196
TF-IDF Corpus,8,0.61,0.31,0.4180634862661755
TF-IDF Corpus,8,0.61,0.61,0.4102555414577388
TF-IDF Corpus,8,0.61,0.9099999999999999,0.4183015807078443
TF-IDF Corpus,8,0.61,symmetric,0.4223182475515386
TF-IDF Corpus,8,0.9099999999999999,0.01,0.4283480759990054
TF-IDF Corpus,8,0.9099999999999999,0.31,0.4341133827770475
TF-IDF Corpus,8,0.9099999999999999,0.61,0.4412991927311627
TF-IDF Corpus,8,0.9099999999999999,0.9099999999999999,0.4274797961381145
TF-IDF Corpus,8,0.9099999999999999,symmetric,0.4345467361414735
TF-IDF Corpus,8,symmetric,0.01,0.45682258470870396
TF-IDF Corpus,8,symmetric,0.31,0.43505211838659774
TF-IDF Corpus,8,symmetric,0.61,0.4505661060887777
TF-IDF Corpus,8,symmetric,0.9099999999999999,0.4086167346014269
TF-IDF Corpus,8,symmetric,symmetric,0.44111987550406584
TF-IDF Corpus,8,asymmetric,0.01,0.5100820245667064
TF-IDF Corpus,8,asymmetric,0.31,0.6099220569929533
TF-IDF Corpus,8,asymmetric,0.61,0.5882590817014095
TF-IDF Corpus,8,asymmetric,0.9099999999999999,0.5645742006190871
TF-IDF Corpus,8,asymmetric,symmetric,0.5260787920287308
TF-IDF Corpus,9,0.01,0.01,0.4136881423221622
TF-IDF Corpus,9,0.01,0.31,0.451400161394465
TF-IDF Corpus,9,0.01,0.61,0.43320161276417696
TF-IDF Corpus,9,0.01,0.9099999999999999,0.43011031189365906
TF-IDF Corpus,9,0.01,symmetric,0.451885580466694
TF-IDF Corpus,9,0.31,0.01,0.48806799664901956
TF-IDF Corpus,9,0.31,0.31,0.4434860287778147
TF-IDF Corpus,9,0.31,0.61,0.4918295015844582
TF-IDF Corpus,9,0.31,0.9099999999999999,0.45051957172997426
TF-IDF Corpus,9,0.31,symmetric,0.49676357437903434
TF-IDF Corpus,9,0.61,0.01,0.39954678313553904
TF-IDF Corpus,9,0.61,0.31,0.3962240633331123
TF-IDF Corpus,9,0.61,0.61,0.40832400388239665
TF-IDF Corpus,9,0.61,0.9099999999999999,0.42237723833072466
TF-IDF Corpus,9,0.61,symmetric,0.430801183229238
TF-IDF Corpus,9,0.9099999999999999,0.01,0.4212774232067966
TF-IDF Corpus,9,0.9099999999999999,0.31,0.43111410571789394
TF-IDF Corpus,9,0.9099999999999999,0.61,0.43794950538203803
TF-IDF Corpus,9,0.9099999999999999,0.9099999999999999,0.42991881815210253
TF-IDF Corpus,9,0.9099999999999999,symmetric,0.4397772141916416
TF-IDF Corpus,9,symmetric,0.01,0.41926580956340836
TF-IDF Corpus,9,symmetric,0.31,0.4407910671979878
TF-IDF Corpus,9,symmetric,0.61,0.4520693485275306
TF-IDF Corpus,9,symmetric,0.9099999999999999,0.4221122914400578
TF-IDF Corpus,9,symmetric,symmetric,0.44490714103017787
TF-IDF Corpus,9,asymmetric,0.01,0.5103580131734344
TF-IDF Corpus,9,asymmetric,0.31,0.570419333047237
TF-IDF Corpus,9,asymmetric,0.61,0.5966692251960288
TF-IDF Corpus,9,asymmetric,0.9099999999999999,0.5779578878205431
TF-IDF Corpus,9,asymmetric,symmetric,0.5696617207678659
TF-IDF Corpus,10,0.01,0.01,0.45040557416842236
TF-IDF Corpus,10,0.01,0.31,0.44994953224204587
TF-IDF Corpus,10,0.01,0.61,0.4272638413028832
TF-IDF Corpus,10,0.01,0.9099999999999999,0.4514590892582436
TF-IDF Corpus,10,0.01,symmetric,0.46977129268240364
TF-IDF Corpus,10,0.31,0.01,0.47888380959695687
TF-IDF Corpus,10,0.31,0.31,0.4620426779749514
TF-IDF Corpus,10,0.31,0.61,0.4663490469531686
TF-IDF Corpus,10,0.31,0.9099999999999999,0.47243973662098604
TF-IDF Corpus,10,0.31,symmetric,0.4791317210763363
TF-IDF Corpus,10,0.61,0.01,0.40374130085802556
TF-IDF Corpus,10,0.61,0.31,0.40382475341622853
TF-IDF Corpus,10,0.61,0.61,0.4133113905252618
TF-IDF Corpus,10,0.61,0.9099999999999999,0.4117794245164103
TF-IDF Corpus,10,0.61,symmetric,0.400815892492105
TF-IDF Corpus,10,0.9099999999999999,0.01,0.4190287812574457
TF-IDF Corpus,10,0.9099999999999999,0.31,0.4255256147765163
TF-IDF Corpus,10,0.9099999999999999,0.61,0.427725933894596
TF-IDF Corpus,10,0.9099999999999999,0.9099999999999999,0.431383932158038
TF-IDF Corpus,10,0.9099999999999999,symmetric,0.42602360978922904
TF-IDF Corpus,10,symmetric,0.01,0.44968485806584424
TF-IDF Corpus,10,symmetric,0.31,0.4374846273726087
TF-IDF Corpus,10,symmetric,0.61,0.4549518630250309
TF-IDF Corpus,10,symmetric,0.9099999999999999,0.44385875355128473
TF-IDF Corpus,10,symmetric,symmetric,0.46890329812643217
TF-IDF Corpus,10,asymmetric,0.01,0.511542536323345
TF-IDF Corpus,10,asymmetric,0.31,0.6009320618429463
TF-IDF Corpus,10,asymmetric,0.61,0.5965918571499951
TF-IDF Corpus,10,asymmetric,0.9099999999999999,0.600240007097857
TF-IDF Corpus,10,asymmetric,symmetric,0.5646449980254964
BOW Corpus,5,0.01,0.01,0.39702127825273326
BOW Corpus,5,0.01,0.31,0.40917086048247525
BOW Corpus,5,0.01,0.61,0.3796258925026443
BOW Corpus,5,0.01,0.9099999999999999,0.4197375778548085
BOW Corpus,5,0.01,symmetric,0.43372816777205137
BOW Corpus,5,0.31,0.01,0.4071029900209373
BOW Corpus,5,0.31,0.31,0.41272924099134267
BOW Corpus,5,0.31,0.61,0.4274058171514096
BOW Corpus,5,0.31,0.9099999999999999,0.4375202342625718
BOW Corpus,5,0.31,symmetric,0.3792883069786819
BOW Corpus,5,0.61,0.01,0.4003169606071461
BOW Corpus,5,0.61,0.31,0.4296147832488252
BOW Corpus,5,0.61,0.61,0.401904718696722
BOW Corpus,5,0.61,0.9099999999999999,0.42418128991544013
BOW Corpus,5,0.61,symmetric,0.40700084499744377
BOW Corpus,5,0.9099999999999999,0.01,0.43376168434586326
BOW Corpus,5,0.9099999999999999,0.31,0.43650696941790157
BOW Corpus,5,0.9099999999999999,0.61,0.4234164204425279
BOW Corpus,5,0.9099999999999999,0.9099999999999999,0.42828496420148854
BOW Corpus,5,0.9099999999999999,symmetric,0.4412456697405278
BOW Corpus,5,symmetric,0.01,0.42846589915136113
BOW Corpus,5,symmetric,0.31,0.40051503616127715
BOW Corpus,5,symmetric,0.61,0.4086920380879645
BOW Corpus,5,symmetric,0.9099999999999999,0.3754915372152592
BOW Corpus,5,symmetric,symmetric,0.376269535684595
BOW Corpus,5,asymmetric,0.01,0.37364517423370874
BOW Corpus,5,asymmetric,0.31,0.42238904252217535
BOW Corpus,5,asymmetric,0.61,0.4427480027019314
BOW Corpus,5,asymmetric,0.9099999999999999,0.3892479424698247
BOW Corpus,5,asymmetric,symmetric,0.4100296702611287
BOW Corpus,6,0.01,0.01,0.4195798421052577
BOW Corpus,6,0.01,0.31,0.386453777089716
BOW Corpus,6,0.01,0.61,0.3742014603275266
BOW Corpus,6,0.01,0.9099999999999999,0.40515455230608893
BOW Corpus,6,0.01,symmetric,0.40327941437989273
BOW Corpus,6,0.31,0.01,0.43164156317485713
BOW Corpus,6,0.31,0.31,0.409718557650514
BOW Corpus,6,0.31,0.61,0.41198965651832764
BOW Corpus,6,0.31,0.9099999999999999,0.40696156684997775
BOW Corpus,6,0.31,symmetric,0.4191751893199141
BOW Corpus,6,0.61,0.01,0.4220266792239442
BOW Corpus,6,0.61,0.31,0.4074814244528473
BOW Corpus,6,0.61,0.61,0.36989436186169805
BOW Corpus,6,0.61,0.9099999999999999,0.40328759566518907
BOW Corpus,6,0.61,symmetric,0.39750700703224173
BOW Corpus,6,0.9099999999999999,0.01,0.38959179287525947
BOW Corpus,6,0.9099999999999999,0.31,0.4162728788759374
BOW Corpus,6,0.9099999999999999,0.61,0.3973965482606961
BOW Corpus,6,0.9099999999999999,0.9099999999999999,0.4299132283106499
BOW Corpus,6,0.9099999999999999,symmetric,0.3944741448568838
BOW Corpus,6,symmetric,0.01,0.3942902711731821
BOW Corpus,6,symmetric,0.31,0.4231816423257586
BOW Corpus,6,symmetric,0.61,0.38154735732400374
BOW Corpus,6,symmetric,0.9099999999999999,0.39089179387601086
BOW Corpus,6,symmetric,symmetric,0.4112314357518665
BOW Corpus,6,asymmetric,0.01,0.38849437823958377
BOW Corpus,6,asymmetric,0.31,0.41020175621415844
BOW Corpus,6,asymmetric,0.61,0.38835892771812325
BOW Corpus,6,asymmetric,0.9099999999999999,0.4211084175396575
BOW Corpus,6,asymmetric,symmetric,0.39528785471560585
BOW Corpus,7,0.01,0.01,0.39100186989902735
BOW Corpus,7,0.01,0.31,0.36587518057594354
BOW Corpus,7,0.01,0.61,0.41227607638612584
BOW Corpus,7,0.01,0.9099999999999999,0.38212227813565924
BOW Corpus,7,0.01,symmetric,0.36588562774523614
BOW Corpus,7,0.31,0.01,0.42696829610890136
BOW Corpus,7,0.31,0.31,0.40396358196378074
BOW Corpus,7,0.31,0.61,0.41439479432771004
BOW Corpus,7,0.31,0.9099999999999999,0.39377150111707593
BOW Corpus,7,0.31,symmetric,0.414496280127188
BOW Corpus,7,0.61,0.01,0.3862050736673331
BOW Corpus,7,0.61,0.31,0.4240890758882606
BOW Corpus,7,0.61,0.61,0.4100089084449458
BOW Corpus,7,0.61,0.9099999999999999,0.40967477911741385
BOW Corpus,7,0.61,symmetric,0.42259435473928464
BOW Corpus,7,0.9099999999999999,0.01,0.40533575184791726
BOW Corpus,7,0.9099999999999999,0.31,0.4064053798235134
BOW Corpus,7,0.9099999999999999,0.61,0.42177000470713033
BOW Corpus,7,0.9099999999999999,0.9099999999999999,0.4160607322328646
BOW Corpus,7,0.9099999999999999,symmetric,0.39201024693675696
BOW Corpus,7,symmetric,0.01,0.41299208340790555
BOW Corpus,7,symmetric,0.31,0.37398815204558294
BOW Corpus,7,symmetric,0.61,0.38470016943240914
BOW Corpus,7,symmetric,0.9099999999999999,0.38178594904647684
BOW Corpus,7,symmetric,symmetric,0.39648688374903057
BOW Corpus,7,asymmetric,0.01,0.377169749337138
BOW Corpus,7,asymmetric,0.31,0.4067840920611822
BOW Corpus,7,asymmetric,0.61,0.41119381670142785
BOW Corpus,7,asymmetric,0.9099999999999999,0.4009654882594701
BOW Corpus,7,asymmetric,symmetric,0.392621211099827
BOW Corpus,8,0.01,0.01,0.38850005995800446
BOW Corpus,8,0.01,0.31,0.3929842978487671
BOW Corpus,8,0.01,0.61,0.4029509633366115
BOW Corpus,8,0.01,0.9099999999999999,0.402881010242511
BOW Corpus,8,0.01,symmetric,0.4063842621420225
BOW Corpus,8,0.31,0.01,0.4098144330148319
BOW Corpus,8,0.31,0.31,0.441081322568623
BOW Corpus,8,0.31,0.61,0.40520398346013964
BOW Corpus,8,0.31,0.9099999999999999,0.4291526660482258
BOW Corpus,8,0.31,symmetric,0.41604950706276667
BOW Corpus,8,0.61,0.01,0.42458699635034536
BOW Corpus,8,0.61,0.31,0.38843112551141196
BOW Corpus,8,0.61,0.61,0.38322681041221884
BOW Corpus,8,0.61,0.9099999999999999,0.41885016350491255
BOW Corpus,8,0.61,symmetric,0.4094917667261909
BOW Corpus,8,0.9099999999999999,0.01,0.38817103337827463
BOW Corpus,8,0.9099999999999999,0.31,0.4012330789811884
BOW Corpus,8,0.9099999999999999,0.61,0.41745576504122694
BOW Corpus,8,0.9099999999999999,0.9099999999999999,0.40502494803425615
BOW Corpus,8,0.9099999999999999,symmetric,0.4099472543328506
BOW Corpus,8,symmetric,0.01,0.41349823347968473
BOW Corpus,8,symmetric,0.31,0.38636759726254527
BOW Corpus,8,symmetric,0.61,0.4010957804488933
BOW Corpus,8,symmetric,0.9099999999999999,0.4106753994298563
BOW Corpus,8,symmetric,symmetric,0.40880993394329196
BOW Corpus,8,asymmetric,0.01,0.4038819143277158
BOW Corpus,8,asymmetric,0.31,0.39716377647195267
BOW Corpus,8,asymmetric,0.61,0.4293570952064883
BOW Corpus,8,asymmetric,0.9099999999999999,0.43850468497126094
BOW Corpus,8,asymmetric,symmetric,0.42181145291324973
BOW Corpus,9,0.01,0.01,0.40110485551374325
BOW Corpus,9,0.01,0.31,0.39724675025083506
BOW Corpus,9,0.01,0.61,0.4052628612908328
BOW Corpus,9,0.01,0.9099999999999999,0.37971359511699576
BOW Corpus,9,0.01,symmetric,0.3756055220340051
BOW Corpus,9,0.31,0.01,0.41782607522426746
BOW Corpus,9,0.31,0.31,0.4230457044578676
BOW Corpus,9,0.31,0.61,0.42379190794569266
BOW Corpus,9,0.31,0.9099999999999999,0.3864327963314718
BOW Corpus,9,0.31,symmetric,0.4307193070596067
BOW Corpus,9,0.61,0.01,0.40218662801054045
BOW Corpus,9,0.61,0.31,0.39401336826543754
BOW Corpus,9,0.61,0.61,0.3989869517429649
BOW Corpus,9,0.61,0.9099999999999999,0.3912785269340945
BOW Corpus,9,0.61,symmetric,0.40413634276704635
BOW Corpus,9,0.9099999999999999,0.01,0.4198203226306365
BOW Corpus,9,0.9099999999999999,0.31,0.4049402886097989
BOW Corpus,9,0.9099999999999999,0.61,0.4201538498130515
BOW Corpus,9,0.9099999999999999,0.9099999999999999,0.39537749727625343
BOW Corpus,9,0.9099999999999999,symmetric,0.4121201391204402
BOW Corpus,9,symmetric,0.01,0.3942348778750839
BOW Corpus,9,symmetric,0.31,0.3967233942020342
BOW Corpus,9,symmetric,0.61,0.41079841094736647
BOW Corpus,9,symmetric,0.9099999999999999,0.424285537815248
BOW Corpus,9,symmetric,symmetric,0.40938214493290337
BOW Corpus,9,asymmetric,0.01,0.400694609060777
BOW Corpus,9,asymmetric,0.31,0.4388604586982676
BOW Corpus,9,asymmetric,0.61,0.40788831086177724
BOW Corpus,9,asymmetric,0.9099999999999999,0.4245488315439365
BOW Corpus,9,asymmetric,symmetric,0.4103392361225016
BOW Corpus,10,0.01,0.01,0.3984640170749085
BOW Corpus,10,0.01,0.31,0.3936622914139173
BOW Corpus,10,0.01,0.61,0.402590610710163
BOW Corpus,10,0.01,0.9099999999999999,0.39477785132107546
BOW Corpus,10,0.01,symmetric,0.4110641319305198
BOW Corpus,10,0.31,0.01,0.4422906701561324
BOW Corpus,10,0.31,0.31,0.4426314572130889
BOW Corpus,10,0.31,0.61,0.43141378028414534
BOW Corpus,10,0.31,0.9099999999999999,0.4577570587670524
BOW Corpus,10,0.31,symmetric,0.41291605751545635
BOW Corpus,10,0.61,0.01,0.3995099870781361
BOW Corpus,10,0.61,0.31,0.3956045551767323
BOW Corpus,10,0.61,0.61,0.39589877438331766
BOW Corpus,10,0.61,0.9099999999999999,0.40099599551720955
BOW Corpus,10,0.61,symmetric,0.4050010302367686
BOW Corpus,10,0.9099999999999999,0.01,0.3883325819300926
BOW Corpus,10,0.9099999999999999,0.31,0.417816402019813
BOW Corpus,10,0.9099999999999999,0.61,0.40628695353120714
BOW Corpus,10,0.9099999999999999,0.9099999999999999,0.3922087816913483
BOW Corpus,10,0.9099999999999999,symmetric,0.40040452663127624
BOW Corpus,10,symmetric,0.01,0.4154545766550872
BOW Corpus,10,symmetric,0.31,0.3980835706037815
BOW Corpus,10,symmetric,0.61,0.40883739649654666
BOW Corpus,10,symmetric,0.9099999999999999,0.38942560508454827
BOW Corpus,10,symmetric,symmetric,0.39707822481257576
BOW Corpus,10,asymmetric,0.01,0.39857843708920554
BOW Corpus,10,asymmetric,0.31,0.39864532506531464
BOW Corpus,10,asymmetric,0.61,0.4322905488785449
BOW Corpus,10,asymmetric,0.9099999999999999,0.4029723686810566
BOW Corpus,10,asymmetric,symmetric,0.42753788748845495
